StockCode,Description,units,revenue,orders,customers,is_recommended
20675,BLUE SPOTTY BOWL,2700,3197.16,258,157,True
20676,RED RETROSPOT BOWL,5020,5827.19,375,227,True
20676,RED SPOTTY BOWL,4383,5145.87,345,212,True
20677,PINK POLKADOT BOWL,3563,4147.58,279,163,True
20677,PINK SPOTTY BOWL,3325,3882.6499999999996,266,161,True
20678,LARGE BLACK DIAMANTE HAIRSLIDE,4,6.6,1,1,False
20679,EDWARDIAN PARASOL RED,6029,28557.920000000002,622,271,True
20680,PINK FLOWERS CHILDS UMBRELLA,6,19.5,4,4,False
20681,PINK POLKADOT CHILDRENS UMBRELLA,354,1144.5,99,82,True
20681,PINK SPOTTY CHILDS UMBRELLA,949,2991.25,175,127,True
20682,RED RETROSPOT CHILDRENS UMBRELLA,1462,4670.16,265,190,True
20682,RED SPOTTY CHILDS UMBRELLA,1430,4464.5,213,153,True
20683,RAIN GIRL CHILDS UMBRELLA,1,3.25,1,1,False
20684,STRAWBERRY DREAM CHILDS UMBRELLA,560,1781.0,157,117,False
20685,DOOR MAT RED SPOT,2426,15093.48,369,245,True
20685,DOORMAT RED RETROSPOT,4806,31864.2,758,416,True
20685,DOORMAT RED SPOT,1035,7050.21,187,159,True
20685,RED SPOTTY COIR DOORMAT,1097,6538.75,164,132,True
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,561,1817.63,160,117,True
20688,BEAUTY SPEED EXPRESSO CUPS,462,306.9,9,9,False
20689,RETRO SISTERS EXPRESSO CUPS,400,436.0,27,25,False
20692,FLORAL ELEPHANT SOFT TOY,879,3434.25,116,75,True
20693,FLORAL DINOSAUR GREEN,26,110.5,12,10,False
20694,FLORAL PINK MONSTER,112,408.48,25,23,False
20695,FLORAL BLUE MONSTER,82,332.0,26,24,False
20696,FLORAL SOFT CAR TOY,123,461.25,34,28,False
20697,LITTLE GREEN MONSTER SOFT TOY,38,91.5,19,17,False
20698,LITTLE PINK MONSTER SOFT TOY,43,104.25,18,17,False
20699,MOUSEY LONG LEGS SOFT TOY,208,519.6,45,42,False
20700,GREEN CAT FLORAL CUSHION COVER,288,420.0,12,11,False
20701,PINK CAT FLORAL CUSHION COVER,282,397.5,13,12,False
20702,PINK PADDED MOBILE,758,3178.0,237,151,True
20703,BLUE PADDED SOFT MOBILE,459,1938.25,165,122,True
20704,MR ROBOT SOFT TOY,345,1200.95,64,60,False
20705,MRS ROBOT SOFT TOY,269,972.55,49,47,False
20707,CRAZY DAISY HEART DECORATION,1279,914.12,63,48,False
20711,JUMBO BAG TOYS,11326,20283.78,671,326,True
20712,JUMBO BAG WOODLAND ANIMALS,15709,29105.5,915,387,True
20713,JUMBO BAG OWLS,19463,35162.42,920,371,True
20714,POSY SHOPPER BAG,1513,586.25,12,10,False
20715,LITTLE FLOWER SHOPPER BAG,400,424.0,1,1,False
20716,PARTY FOOD SHOPPER BAG,1392,1705.8,169,121,True
20717,STRAWBERRY SHOPPER BAG,5335,6353.53,500,283,True
20718,RED RETROSPOT SHOPPER BAG,5596,6647.31,469,280,True
20718,RED SPOTTY SHOPPER BAG,6659,7711.95,397,237,True
20719,WOODLAND CHARLOTTE BAG,19027,15030.64,1062,365,True
20721,OWLS CHARLOTTE BAG,1,0.85,1,1,False
20723,STRAWBERRY CHARLOTTE BAG,14542,11654.8,988,356,True
20724,RED RETROSPOT CHARLOTTE BAG,15168,12034.8,908,390,True
20724,RED SPOTTY CHARLOTTE BAG,10648,8468.4,587,282,True
20725,LUNCH BAG RED RETROSPOT,20294,32137.5,1520,605,True
20725,LUNCH BAG RED SPOTTY,17456,27237.6,1059,499,True
20726,LUNCH BAG WOODLAND,20916,33004.76,1585,585,True
20727,LUNCH BAG  BLACK SKULL.,25392,39904.0,1997,705,True
20728,LUNCH BAG CARS BLUE,23304,36644.28,1797,702,True
20729,RED SPOTTY CANDY BAG,4626,1154.9,67,39,False
20730,STRAWBERRY CANDY BAG,1659,524.25,41,34,True
20731,POSY CANDY BAG,4100,1179.0,46,40,True
20733,GOLD MINI TAPE MEASURE,1546,1123.7,101,67,True
20734,SILVER MINI TAPE MEASURE,1379,1079.85,68,50,False
20735,BLACK MINI TAPE MEASURE,824,588.0,63,30,True
20736,PINK MINI TAPE MEASURE,286,230.1,18,18,False
20738,GREEN MINI TAPE MEASURE,1585,1270.55,65,46,False
20747,PICCADILLY TEA SET,309,4212.55,70,48,False
20748,KENSINGTON COFFEE SET,359,3371.25,114,86,True
20749,ASSORTED COLOUR MINI CASES,2972,21169.64,726,426,True
20750,RED RETROSPOT MINI CASES,2021,14548.550000000001,479,307,True
20750,RED/WHITE DOT MINI CASES,1587,11387.93,388,246,True
20751,FUNKY WASHING UP GLOVES ASSORTED,2736,5652.12,408,264,True
20752,BLUE POLKADOT WASHING UP GLOVES,471,989.1,156,117,True
20752,RETRO BLUE SPOTTY WASHING UP GLOVES,846,1326.6,114,93,True
20753,RETRO PINK SPOT WASHING UP GLOVES,187,391.1,38,30,False
20754,RETRO RED SPOTTY WASHING UP GLOVES,3011,5747.46,338,212,True
20754,RETROSPOT RED WASHING UP GLOVES,1804,3581.76,341,208,True
20755,BLUE PAISLEY POCKET BOOK,5084,1031.0,86,74,True
20756,GREEN FERN POCKET BOOK,5679,816.7499999999999,44,40,False
20757,RED DAISY POCKET BOOK,5301,856.23,55,49,True
20758,ABSTRACT CIRCLES POCKET BOOK,5378,920.9,74,61,True
20759,CHRYSANTHEMUM POCKET BOOK,5734,863.5,44,35,True
20760,GARDEN PATH POCKET BOOK,5484,1270.2,59,47,True
20761,BLUE PAISLEY SKETCHBOOK,413,1207.37,116,93,True
20762,GREEN FERN SKETCHBOOK,416,1171.71,111,88,True
20763,DAISY SKETCHBOOK,245,606.86,59,54,False
20764,ABSTRACT CIRCLES SKETCHBOOK,597,1721.88,144,107,False
20765,CHRYSANTHEMUM SKETCHBOOK,405,1104.79,120,96,True
20766,GARDEN PATH SKETCHBOOK,475,1345.98,123,100,False
20767,BLUE PAISLEY JOURNAL,750,1546.52,148,112,True
20768,GREEN FERN JOURNAL,702,1357.81,117,98,True
20769,DAISY JOURNAL,403,708.47,61,48,True
20770,ABSTRACT CIRCLE JOURNAL,902,1831.2,113,94,True
20771,CHRYSANTHEMUM  JOURNAL,551,1051.96,112,91,True
20772,GARDEN PATH JOURNAL,926,1721.56,130,105,True
20773,BLUE PAISLEY NOTEBOOK,3303,889.95,95,78,True
20774,GREEN FERN NOTEBOOK,3419,841.35,76,68,False
20775,DAISY NOTEBOOK,3509,749.85,53,43,True
20776,ABSTRACT CIRCLES NOTEBOOK,3187,698.55,53,50,True
20777,CHRYSANTHEMUM NOTEBOOK,3525,1016.25,94,78,True
20778,GARDEN PATH NOTEBOOK,3595,891.75,80,66,True
20780,BLACK EAR MUFF HEADPHONES,174,857.6,58,35,True
20781,GOLD EAR MUFF HEADPHONES,77,373.17,41,34,True
20782,CAMOUFLAGE EAR MUFF HEADPHONES,101,556.25,51,39,True
20783,HEART EAR MUFF HEADPHONES,130,658.26,34,20,False
20784,RED RETRO BAR STOOL,26,970.7,8,6,False
20785,FUSCHIA RETRO BAR STOOL,44,1657.8,17,14,False
20786,BLACK RETRO BAR STOOL,22,830.9,9,9,True
20787,BLUE RETRO BAR STOOL,11,435.45000000000005,8,7,False
20791,BLUE TILED SET OF 3 DRAWERS,5,63.75,1,1,False
20793,BLUE TILED TRAY,273,402.75,15,13,False
20794,BLUE  TILE HOOK,190,480.9,30,27,False
20795,LARGE BLUE PROVENCAL CERAMIC BALL,116,228.84,17,15,False
20796,SMALL BLUE PROVENCAL CERAMIC BALL,88,145.2,13,11,False
20798,CLEAR MILKSHAKE GLASS,445,869.7,41,35,True
20799,PINK MILKSHAKE GLASS,167,215.5,13,11,False
20800,LARGE GLASS SUNDAE DISH CLEAR,996,258.2,2,2,False
20801,LARGE PINK GLASS SUNDAE DISH,902,845.86,69,61,True
20802,SMALL GLASS SUNDAE DISH CLEAR,895,1137.99,76,68,True
20803,SMALL PINK GLASS SUNDAE DISH,1091,680.91,61,50,False
20804,GLASS CHICKEN BUTTER DISH,283,438.15,24,21,False
20812,EMBOSSED FLOWER TRELLIS PHOTO FRAME,5,12.75,3,3,False
20814,SILVER FINCH DECORATION,187,206.39,12,7,False
20816,GOLD FLOWER CUSHION COVER,24,123.6,7,5,False
20818,GOLD TEDDY BEAR,79,211.25,22,20,False
20819,SILVER TEDDY BEAR,208,543.71,50,39,False
20820,SILVER LOOKING MIRROR,11,54.45,8,6,False
20821,GOLDIE LOOKING MIRROR,26,128.7,10,10,False
20822,SILVER WINE GOBLET,2,9.3,1,1,False
20823,GOLD WINE GOBLET,248,513.2,17,14,True
20825,GOLD WINE GLASS,360,1229.04,6,5,False
20826,SILVER APERITIF GLASS,355,290.72,14,11,False
20827,GOLD APERITIF GLASS,173,209.36,8,5,False
20828,GLITTER BUTTERFLY CLIPS,4220,9951.0,499,261,True
20829,GLITTER HANGING BUTTERFLY STRING,4700,9350.39,404,207,True
20830,SILVER PHOTO FRAME,296,501.59999999999997,46,36,False
20831,GOLD PHOTO FRAME,394,594.84,51,34,False
20832,RED FLOCK LOVE HEART PHOTO FRAME,1576,994.0999999999999,103,86,True
20833,SHAKER THROW  QUILTED,52,811.8,5,3,False
20835,FRENCH LATTICE CUSHION COVER,78,64.98,8,8,False
20836,FRENCH PAISLEY CUSHION COVER,224,250.0,22,18,False
20837,FRENCH FLORAL CUSHION COVER,165,188.07000000000002,18,17,True
20838,FRENCH LATTICE CUSHION COVER,391,387.28999999999996,39,36,True
20839,FRENCH PAISLEY CUSHION COVER,507,574.0899999999999,60,53,True
20840,FRENCH FLORAL CUSHION COVER,813,1170.83,60,50,True
20845,ZINC HEART LATTICE 2 WALL PLANTER,73,463.55,21,15,False
20846,ZINC HEART LATTICE T-LIGHT HOLDER,1321,1627.97,127,105,True
20847,ZINC HEART LATTICE CHARGER LARGE,71,266.25,20,17,False
20848,ZINC HEART LATTICE CHARGER SMALL,39,115.05,12,10,False
20849,ZINC HEART LATTICE DOUBLE PLANTER,670,566.1,20,15,False
20850,ZINC HEART LATTICE PLANTER BOWL,820,713.8,23,19,False
20851,ZINC HEART LATTICE TRAY OVAL,334,417.7,27,21,False
20854,BLUE PATCH PURSE PINK HEART,363,581.15,83,66,True
20855,PINK PATCH PURSE BLUE HEART,142,234.3,47,41,True
20856,DENIM PATCH PURSE PINK BUTTERFLY,332,547.8,88,70,True
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,248,409.2,72,57,False
20858,SILVER PURSE GOLD PINK BUTTERFLY,4,6.6,1,1,False
20860,GOLD COSMETICS BAG WITH BUTTERFLY,19,39.9,10,10,False
20861,GOLD COSMETIC BAG PINK STAR,45,94.5,15,15,False
20862,PINK PATCH PENCIL CASE BLUE HEART,316,652.53,28,21,True
20863,BLUE PATCH PENCIL CASE PINK HEART,284,563.19,42,35,False
20864,DENIM PATCH PENCIL CASE BUTTERFLY,247,483.33,26,20,False
20865,PATCHWORK PENCIL CASE BUTTERFLY,247,485.49,30,24,False
20866,BLUE ROSE FABRIC MIRROR,963,972.29,87,76,True
20867,PINK ROSE FABRIC MIRROR,844,791.72,75,68,False
20868,SILVER FABRIC MIRROR,789,437.66,46,40,False
