CustomerID,Country,Recency,Frequency,Monetary,AvgBasketValue,ProductDiversity,Tenure,AvgInterpurchase,R_score,F_score,M_score,RFM_sum,RFM_segment,segment,PredictedCLV_6m
12370,Cyprus,51,7,3956.56,565.22,167,617,102.7,4,4,5,13,Champions,VIP,377.05
12371,Switzerland,60,4,3347.38,836.84,133,585,194.7,3,3,5,11,Regular,VIP,28.69
12372,Denmark,72,3,1196.04,398.68,33,224,112.0,3,3,3,9,Regular,Occasional,11.67
12373,Austria,311,3,927.65,309.22,35,362,180.5,2,3,3,8,At-Risk,Occasional,16.87
12374,Austria,25,3,2669.22,889.74,78,563,281.0,4,3,4,11,Regular,Loyal,6.32
12375,Finland,11,2,377.5,188.75,13,87,87.0,5,2,2,9,New / Promising,Loyal,9.91
12376,Switzerland,390,2,383.15,191.58,10,28,28.0,2,2,2,6,Lost,At-Risk,6.26
12377,Switzerland,315,4,3266.32,816.58,128,274,91.0,2,3,5,10,At-Risk,Occasional,118.15
12378,Switzerland,130,2,5416.32,2708.16,281,432,432.0,3,2,5,10,Regular,VIP,5.6
12379,Belgium,82,4,1470.22,367.56,57,452,150.7,3,3,4,10,Regular,Loyal,117.88
12380,Belgium,22,8,7210.65,901.33,154,640,91.0,4,4,5,13,Champions,VIP,3725.46
12381,Norway,5,3,1474.81,491.6,69,115,57.0,5,3,4,12,Regular,Loyal,31.64
12383,Belgium,185,5,1628.56,325.71,83,167,41.2,3,4,4,11,Loyal,Loyal,300.14
12384,Switzerland,29,2,425.27,212.64,25,92,92.0,4,2,2,8,New / Promising,Loyal,6.23
12385,Belgium,379,1,1668.4,1668.4,64,0,0.0,2,1,4,7,Lost,Occasional,4.19
12386,Australia,338,2,401.9,200.95,10,29,29.0,2,2,2,6,Lost,At-Risk,0.27
12387,Australia,415,1,143.94,143.94,9,0,0.0,1,1,1,3,Lost,At-Risk,1.61
12388,Australia,16,8,3901.11,487.64,83,566,80.4,5,4,5,14,Champions,VIP,1390.55
12389,Australia,403,3,1433.33,477.78,41,253,126.0,2,3,4,9,At-Risk,Occasional,89.51
12390,Belgium,80,1,504.84,504.84,31,0,0.0,3,1,2,6,Regular,Occasional,4.21
12391,Cyprus,22,6,2724.84,454.14,241,641,128.0,4,4,4,12,Champions,VIP,187.64
12392,Australia,591,1,234.75,234.75,7,0,0.0,1,1,1,3,Lost,At-Risk,1.92
12393,Australia,72,6,2399.45,399.91,63,356,70.8,3,4,4,11,Loyal,Loyal,157.54
12394,Belgium,64,2,1080.48,540.24,25,153,153.0,3,2,3,8,Regular,Occasional,4.7
12395,Belgium,19,15,4241.17,282.74,144,583,41.2,5,5,5,15,Champions,VIP,953.46
12396,RSA,674,1,931.43,931.43,65,0,0.0,1,1,3,5,Lost,Occasional,11.46
12397,Belgium,36,2,2214.9,1107.45,109,99,99.0,4,2,4,10,New / Promising,Occasional,14.47
12398,Switzerland,46,1,1435.66,1435.66,84,0,0.0,4,1,4,9,New / Promising,Occasional,16.77
12399,Belgium,119,7,1842.3,263.19,66,525,87.3,3,4,4,11,Loyal,Loyal,267.92
12400,Australia,414,1,205.25,205.25,11,0,0.0,1,1,1,3,Lost,At-Risk,1.8
12401,Belgium,303,1,69.3,69.3,4,0,0.0,2,1,1,4,Lost,At-Risk,0.63
12402,Belgium,323,6,1136.9,189.48,42,347,69.0,2,4,3,9,At-Risk,Occasional,16.89
12403,Denmark,50,2,947.36,473.68,4,471,471.0,4,2,3,9,New / Promising,Occasional,113.52
12405,Finland,149,1,1390.3899999999999,1390.39,53,0,0.0,3,1,4,8,Regular,Occasional,35.0
12406,Denmark,22,5,6390.36,1278.07,114,675,168.2,4,4,5,13,Champions,VIP,77.51
12407,Belgium,50,5,1507.12,301.42,56,214,53.0,4,4,4,12,Champions,Loyal,129.75
12408,Belgium,33,8,3905.77,488.22,103,465,66.1,4,4,5,13,Champions,VIP,694.23
12409,Switzerland,79,7,23419.29,3345.61,177,486,80.7,3,4,5,12,Loyal,VIP,874.19
12410,Switzerland,309,3,773.71,257.9,35,193,96.5,2,3,3,8,At-Risk,Occasional,10.6
12411,Australia,410,1,346.9,346.9,22,0,0.0,1,1,2,4,Lost,Occasional,14.0
12412,Denmark,75,6,2404.93,400.82,81,464,92.4,3,4,4,11,Loyal,Loyal,231.75
12413,France,67,4,871.45,217.86,40,335,111.3,3,3,3,9,Regular,Loyal,15.25
12414,Austria,217,4,532.41,133.1,19,246,81.7,2,3,2,7,Regular,At-Risk,35.02
12415,Australia,24,24,144033.37,6001.39,496,503,21.3,4,5,5,14,Champions,VIP,1286.09
12416,Australia,657,1,202.56,202.56,11,0,0.0,1,1,1,3,Lost,At-Risk,1.69
12417,Belgium,3,20,5998.41,299.92,269,730,37.9,5,5,5,15,Champions,VIP,1314.54
12418,Switzerland,113,4,2021.2,505.3,90,517,172.0,3,3,4,10,Regular,Loyal,6.69
12419,Spain,386,2,391.01,195.5,22,27,27.0,2,2,2,6,Lost,At-Risk,11.37
12420,Cyprus,64,1,600.39,600.39,29,0,0.0,3,1,2,6,Regular,Occasional,3.14
12421,Spain,16,6,874.6,145.77,43,489,97.4,5,4,3,12,Regular,Loyal,74.6
12422,Switzerland,96,12,3639.35,303.28,135,625,56.3,3,5,5,13,Loyal,VIP,245.87
12423,Belgium,1,10,2301.39,230.14,127,465,51.1,5,5,4,14,Champions,VIP,137.82
12424,Australia,163,4,3340.0299999999997,835.01,78,385,128.3,3,3,5,11,Regular,Occasional,167.8
12425,Portugal,78,2,1741.41,870.7,87,370,370.0,3,2,4,9,Regular,Occasional,15.0
12426,Germany,195,2,1201.21,600.6,72,468,468.0,2,2,3,7,Lost,Occasional,13.43
12427,Germany,22,3,699.8000000000001,233.27,25,349,174.5,4,3,3,10,Regular,Loyal,3.88
12428,Finland,26,8,6405.26,800.66,256,257,36.6,4,4,5,13,Champions,VIP,868.11
12429,Denmark,9,8,5842.41,730.3,123,537,76.4,5,4,5,14,Champions,VIP,1828.63
12430,Norway,43,1,216.4,216.4,10,0,0.0,4,1,1,6,New / Promising,At-Risk,0.38
12431,Australia,36,25,10102.22,404.09,243,658,27.0,4,5,5,14,Champions,VIP,1192.59
12432,Norway,43,4,4359.32,1089.83,106,129,43.0,4,3,5,12,Regular,VIP,262.5
12433,Norway,1,10,16794.14,1679.41,285,476,52.4,5,5,5,15,Champions,VIP,2673.32
12434,Australia,85,3,1103.43,367.81,62,296,147.5,3,3,3,9,Regular,Loyal,19.37
12435,Denmark,80,6,13925.93,2320.99,88,657,131.2,3,4,5,12,Loyal,VIP,556.36
12436,Norway,100,1,429.01,429.01,15,0,0.0,3,1,2,6,Regular,Occasional,1.12
12437,France,2,38,11282.4,296.91,272,735,19.4,5,5,5,15,Champions,VIP,2177.66
12438,Norway,14,2,2466.85,1233.42,83,125,125.0,5,2,4,11,New / Promising,Loyal,26.94
12439,Cyprus,683,2,1142.88,571.44,69,43,43.0,1,2,3,6,Lost,Occasional,5.58
12440,Austria,462,2,739.2,369.6,20,255,255.0,1,2,3,6,Lost,Occasional,10.3
12441,France,367,1,155.55,155.55,10,0,0.0,2,1,1,4,Lost,At-Risk,2.49
12442,Spain,3,1,144.06,144.06,11,0,0.0,5,1,1,7,New / Promising,At-Risk,15.68
12443,Norway,732,1,365.31,365.31,20,0,0.0,1,1,2,4,Lost,Occasional,14.56
12444,Norway,21,5,4085.46,817.09,137,149,37.2,4,4,5,13,Champions,VIP,541.64
12445,Spain,22,2,378.98,189.49,23,398,398.0,4,2,2,8,New / Promising,Loyal,20.36
12446,RSA,58,1,1002.31,1002.31,57,0,0.0,4,1,3,8,New / Promising,Occasional,5.58
12447,Belgium,243,1,431.49,431.49,25,0,0.0,2,1,2,5,Lost,Occasional,0.69
12448,Spain,44,1,365.45,365.45,21,0,0.0,4,1,2,7,New / Promising,Occasional,7.12
12449,Belgium,22,5,4274.89,854.98,124,416,103.5,4,4,5,13,Champions,VIP,1435.94
12450,Spain,156,5,688.2,137.64,31,318,79.0,3,4,3,10,Regular,Loyal,10.99
12451,Switzerland,11,8,12629.88,1578.74,351,518,73.6,5,4,5,14,Champions,VIP,2316.53
12452,Switzerland,17,1,348.57,348.57,20,0,0.0,5,1,2,8,New / Promising,Loyal,4.96
12453,Austria,134,1,707.09,707.09,43,0,0.0,3,1,3,7,Regular,Occasional,2.19
12454,Spain,56,4,16459.78,4114.94,23,364,121.0,4,3,5,12,Regular,VIP,233.84
12455,Cyprus,73,9,5722.95,635.88,198,648,80.5,3,5,5,13,Loyal,VIP,1237.8
12456,Switzerland,44,3,2581.04,860.35,104,210,104.5,4,3,4,11,Regular,Loyal,61.85
12457,Switzerland,66,7,2555.91,365.13,62,368,61.0,3,4,4,11,Loyal,Loyal,153.84
12458,Switzerland,71,4,1502.49,375.62,70,416,138.3,3,3,4,10,Regular,Loyal,141.06
12459,Spain,605,1,398.36,398.36,22,0,0.0,1,1,2,4,Lost,Occasional,13.14
12460,Belgium,456,1,296.65,296.65,17,0,0.0,1,1,2,4,Lost,Occasional,31.86
12461,Switzerland,155,1,626.88,626.88,34,0,0.0,3,1,3,7,Regular,Occasional,5.93
12462,Spain,19,2,937.59,468.8,50,284,284.0,5,2,3,10,New / Promising,Loyal,7.65
12463,Belgium,53,4,1200.78,300.2,64,188,62.0,4,3,3,10,Regular,Loyal,4.36
12464,Belgium,10,8,957.05,119.63,5,299,42.3,5,4,3,12,Regular,Loyal,100.53
12465,Belgium,17,2,682.1899999999999,341.1,45,152,152.0,5,2,3,10,New / Promising,Loyal,4.64
12467,USA,423,1,132.8,132.8,9,0,0.0,1,1,1,3,Lost,At-Risk,1.08
12468,Germany,188,5,3238.74,647.75,126,495,123.2,2,4,5,11,Loyal,Occasional,72.3
12469,Thailand,523,2,3070.54,1535.27,76,14,14.0,1,2,5,8,Lost,Occasional,3.03
12470,Unspecified,690,1,211.95,211.95,23,0,0.0,1,1,1,3,Lost,At-Risk,4.0
12471,Germany,2,71,35099.9,494.36,252,730,10.1,5,5,5,15,Champions,VIP,10034.88
12472,Germany,32,19,14971.289999999999,787.96,396,693,37.8,4,5,5,14,Champions,VIP,177.44
12473,Germany,54,3,2585.73,861.91,138,138,68.5,4,3,4,11,Regular,Loyal,326.41
12474,Germany,17,29,11310.75,390.03,368,649,22.7,5,5,5,15,Champions,VIP,1944.79
12475,Germany,54,2,1065.64,532.82,53,356,356.0,4,2,3,9,New / Promising,Occasional,10.61
12476,Germany,16,18,12319.91,684.44,357,486,28.2,5,5,5,15,Champions,VIP,2013.79
12477,Germany,23,9,20276.37,2252.93,295,600,74.8,4,5,5,14,Champions,VIP,2867.04
12478,Greece,4,1,545.99,545.99,35,0,0.0,5,1,2,8,New / Promising,Loyal,8.32
12479,Germany,11,1,473.2,473.2,30,0,0.0,5,1,2,8,New / Promising,Loyal,22.52
12480,Germany,28,7,4834.85,690.69,176,479,79.5,4,4,5,13,Champions,VIP,957.88
12481,Germany,23,14,11033.51,788.11,247,584,44.5,4,5,5,14,Champions,VIP,1524.05
12482,Sweden,576,27,21941.72,812.66,41,77,2.9,1,5,5,11,Loyal,VIP,3.24
12483,Sweden,17,19,4069.18,214.17,67,660,36.2,5,5,5,15,Champions,VIP,638.95
12484,Spain,35,9,5557.1,617.46,328,645,80.4,4,5,5,14,Champions,VIP,1214.5
12485,Sweden,529,1,708.1,708.1,34,0,0.0,1,1,3,5,Lost,Occasional,3.6
12486,Sweden,432,1,917.28,917.28,48,0,0.0,1,1,3,5,Lost,Occasional,12.1
12487,Sweden,731,1,285.3,285.3,2,0,0.0,1,1,1,3,Lost,At-Risk,6.42
12488,France,10,3,1244.66,414.89,45,65,32.5,5,3,4,12,Regular,Loyal,130.12
12489,France,336,1,298.93,298.93,14,0,0.0,2,1,2,5,Lost,Occasional,11.83
12490,France,5,20,8764.64,438.23,194,733,38.2,5,5,5,15,Champions,VIP,1424.86
12491,France,39,1,424.4,424.4,24,0,0.0,4,1,2,7,New / Promising,Occasional,5.04
12492,Germany,63,3,607.21,202.4,37,340,169.5,3,3,3,9,Regular,Loyal,14.33
12493,France,166,2,379.74,189.87,18,31,31.0,3,2,2,7,Regular,At-Risk,1.93
12494,France,16,9,1563.27,173.7,82,560,69.4,5,5,4,14,Champions,Loyal,288.99
12495,Sweden,641,1,277.4,277.4,16,0,0.0,1,1,1,3,Lost,Occasional,3.34
12496,Spain,620,2,45.34,22.67,10,0,0.0,1,2,1,4,Lost,At-Risk,3.14
12497,Germany,82,3,5996.5,1998.83,40,563,281.0,3,3,5,11,Regular,Occasional,86.07
12498,Germany,21,3,349.7,116.57,20,36,18.0,4,3,2,9,Regular,Loyal,11.28
12499,Germany,560,1,357.71999999999997,357.72,26,0,0.0,1,1,2,4,Lost,Occasional,7.77
12500,Germany,23,18,5559.21,308.85,87,650,37.8,4,5,5,14,Champions,VIP,1574.43
12501,Germany,337,1,2025.3899999999999,2025.39,148,0,0.0,2,1,4,7,Lost,Occasional,0.04
12502,Spain,96,5,2995.87,599.17,101,214,53.2,3,4,5,12,Loyal,Loyal,28.46
12503,Spain,584,1,896.0,896.0,1,0,0.0,1,1,3,5,Lost,Occasional,6.61
12504,Germany,18,4,689.05,172.26,10,578,192.3,5,3,3,11,Regular,Loyal,11.77
12505,Italy,409,1,787.2,787.2,41,0,0.0,2,1,3,6,Lost,Occasional,2.93
12506,France,233,1,73.5,73.5,23,0,0.0,2,1,1,4,Lost,At-Risk,3.21
12507,Spain,134,4,1508.06,377.02,45,450,150.0,3,3,4,10,Regular,Occasional,155.12
12508,France,26,2,397.88,198.94,57,2,2.0,4,2,2,8,New / Promising,Loyal,5.53
12509,France,284,1,158.5,158.5,6,0,0.0,2,1,1,4,Lost,At-Risk,1.61
12510,Spain,143,7,3039.03,434.15,92,592,98.0,3,4,5,12,Loyal,Loyal,190.17
12511,Greece,429,1,3084.02,3084.02,190,0,0.0,1,1,5,7,Lost,Occasional,3.01
12512,Israel,66,2,132.18,66.09,31,0,0.0,3,2,1,6,Regular,At-Risk,5.14
12513,France,113,1,558.29,558.29,34,0,0.0,3,1,2,6,Regular,Occasional,0.46
12514,Italy,267,2,1597.76,798.88,76,374,374.0,2,2,4,8,Lost,Occasional,17.55
12515,Italy,353,1,278.7,278.7,15,0,0.0,2,1,1,4,Lost,Occasional,1.02
12516,Germany,78,4,2288.62,572.16,48,521,173.3,3,3,4,10,Regular,Loyal,18.7
12517,Germany,28,4,2301.6,575.4,231,161,53.3,4,3,4,11,Regular,VIP,57.04
12518,Germany,1,5,1840.89,368.18,83,109,27.0,5,4,4,13,Champions,Loyal,513.22
12519,Germany,64,2,626.54,313.27,33,413,413.0,3,2,3,8,Regular,Occasional,16.88
12520,Germany,79,5,2346.2599999999998,469.25,120,194,48.2,3,4,4,11,Loyal,Loyal,109.49
12521,Germany,143,1,545.68,545.68,37,0,0.0,3,1,2,6,Regular,Occasional,7.9
12522,Germany,39,2,156.72,78.36,10,12,12.0,4,2,1,7,New / Promising,At-Risk,2.58
12523,France,19,23,4010.35,174.36,175,712,31.9,5,5,5,15,Champions,VIP,933.47
12524,Germany,9,17,9794.11,576.12,156,660,40.9,5,5,5,15,Champions,VIP,1350.53
12525,France,498,3,883.73,294.58,55,149,74.0,1,3,3,7,At-Risk,Occasional,14.53
12526,Germany,1,3,1172.66,390.89,63,93,46.5,5,3,3,11,Regular,Loyal,3.76
12527,Germany,82,5,717.51,143.5,25,447,111.2,3,4,3,10,Regular,Loyal,51.56
12528,Germany,9,6,1645.48,274.25,49,303,60.4,5,4,4,13,Champions,Loyal,260.78
12529,France,528,1,316.48,316.48,21,0,0.0,1,1,2,4,Lost,Occasional,17.98
12530,Germany,60,9,3381.2599999999998,375.7,93,582,72.4,3,5,5,13,Loyal,VIP,512.35
12531,Germany,15,2,1771.2,885.6,125,671,671.0,5,2,4,11,New / Promising,Loyal,28.41
12532,France,30,1,313.83,313.83,15,0,0.0,4,1,2,7,New / Promising,Occasional,15.07
12533,Germany,628,2,1223.89,611.95,62,110,110.0,1,2,4,7,Lost,Occasional,2.76
12534,Germany,131,1,981.18,981.18,62,0,0.0,3,1,3,7,Regular,Occasional,0.87
12535,France,92,2,716.35,358.18,28,94,94.0,3,2,3,8,Regular,Occasional,10.4
12536,France,59,1,4279.71,4279.71,259,0,0.0,4,1,5,10,New / Promising,Occasional,5.71
12537,Sweden,409,1,612.9399999999999,612.94,42,0,0.0,2,1,3,6,Lost,Occasional,16.96
12538,Spain,29,2,640.45,320.23,33,349,349.0,4,2,3,9,New / Promising,Loyal,9.37
12539,Spain,22,7,11186.75,1598.11,275,694,115.2,4,4,5,13,Champions,VIP,3453.64
12540,Spain,20,32,19250.489999999998,601.58,353,712,22.5,4,5,5,14,Champions,VIP,1430.92
12541,Spain,30,3,841.18,280.39,45,251,125.0,4,3,3,10,Regular,Loyal,14.95
12542,Spain,484,2,481.88,240.94,39,156,156.0,1,2,2,5,Lost,Occasional,227.89
12543,Spain,448,1,840.25,840.25,42,0,0.0,1,1,3,5,Lost,Occasional,6.07
12544,Spain,36,1,316.7,316.7,18,0,0.0,4,1,2,7,New / Promising,Occasional,7.45
12545,Spain,75,2,832.39,416.2,41,184,184.0,3,2,3,8,Regular,Occasional,4.32
12546,Spain,47,2,1021.5,510.75,58,31,31.0,4,2,3,9,New / Promising,Loyal,1.19
12547,Spain,198,3,299.58,99.86,12,302,150.5,2,3,2,7,Regular,At-Risk,5.92
12548,Spain,166,1,67.19999999999999,67.2,4,0,0.0,3,1,1,5,Regular,At-Risk,0.23
12549,USA,576,5,1570.6799999999998,314.14,37,121,30.0,1,4,4,9,Loyal,Occasional,6.75
12550,Spain,79,1,824.83,824.83,56,0,0.0,3,1,3,7,Regular,Occasional,8.09
12551,Spain,358,1,168.0,168.0,10,0,0.0,2,1,1,4,Lost,At-Risk,1.36
12552,Italy,40,1,317.82,317.82,19,0,0.0,4,1,2,7,New / Promising,Occasional,6.83
12553,France,8,12,4104.75,342.06,108,415,37.2,5,5,5,15,Champions,VIP,1047.77
12554,Spain,449,1,384.5,384.5,25,0,0.0,1,1,2,4,Lost,Occasional,5.62
12556,Spain,50,2,599.56,299.78,100,100,100.0,4,2,2,8,New / Promising,Loyal,12.67
12557,Spain,16,8,18096.14,2262.02,15,706,100.4,5,4,5,14,Champions,VIP,2197.36
12558,USA,8,1,269.96,269.96,11,0,0.0,5,1,1,7,New / Promising,Loyal,4.98
12559,Germany,311,2,525.71,262.86,20,8,8.0,2,2,2,6,Lost,Occasional,5.97
12560,Germany,5,2,1918.01,959.0,90,137,137.0,5,2,4,11,New / Promising,Loyal,49.73
12561,Germany,303,1,238.85,238.85,16,0,0.0,2,1,1,4,Lost,At-Risk,0.94
12562,France,8,9,4426.92,491.88,112,427,53.0,5,5,5,15,Champions,VIP,519.54
12563,Italy,409,1,221.24,221.24,12,0,0.0,2,1,1,4,Lost,At-Risk,4.52
12564,France,261,1,402.9,402.9,20,0,0.0,2,1,2,5,Lost,Occasional,2.31
12565,Saudi Arabia,289,1,145.92,145.92,9,0,0.0,2,1,1,4,Lost,At-Risk,1.46
12566,Germany,86,1,297.65,297.65,18,0,0.0,3,1,2,6,Regular,Occasional,17.83
12567,France,23,15,10741.48,716.1,364,644,45.5,4,5,5,14,Champions,VIP,1150.18
12568,Germany,645,1,52.0,52.0,4,0,0.0,1,1,1,3,Lost,At-Risk,0.69
12569,Germany,2,32,3152.69,98.52,91,250,7.6,5,5,5,15,Champions,VIP,886.08
12571,France,40,2,519.61,259.8,31,81,81.0,4,2,2,8,New / Promising,Loyal,9.22
12572,Germany,9,2,912.42,456.21,52,43,43.0,5,2,3,10,New / Promising,Loyal,55.24
12573,France,227,5,717.41,143.48,107,237,58.8,2,4,3,9,At-Risk,Loyal,16.58
12574,France,316,1,182.45,182.45,10,0,0.0,2,1,1,4,Lost,At-Risk,0.4
12575,France,457,2,568.82,284.41,33,69,69.0,1,2,2,5,Lost,Occasional,29.0
12576,Poland,36,8,2062.72,257.84,113,490,69.6,4,4,4,12,Champions,Loyal,256.42
12577,France,35,8,1613.15,201.64,258,700,99.9,4,4,4,12,Champions,Loyal,39.05
12578,Italy,21,4,4026.45,1006.61,148,422,140.0,4,3,5,12,Regular,VIP,85.83
12579,France,78,1,386.42,386.42,28,0,0.0,3,1,2,6,Regular,Occasional,3.64
12580,Germany,247,2,962.9,481.45,51,329,329.0,2,2,3,7,Lost,Occasional,2.78
12581,Germany,40,1,179.71,179.71,14,0,0.0,4,1,1,6,New / Promising,At-Risk,4.76
12582,Finland,239,4,1820.4,455.1,87,338,112.7,2,3,4,9,At-Risk,Occasional,70.49
12583,France,3,27,12493.58,462.73,140,730,27.6,5,5,5,15,Champions,VIP,3049.25
12584,Italy,4,9,2254.15,250.46,43,276,34.0,5,5,4,14,Champions,Loyal,1130.28
12585,Germany,234,2,1824.1,912.05,76,117,117.0,2,2,4,8,Lost,Occasional,26.82
12586,Italy,17,4,2062.67,515.67,82,706,235.0,5,3,4,12,Regular,Loyal,2.0
12587,Finland,8,1,104.0,104.0,3,0,0.0,5,1,1,7,New / Promising,At-Risk,22.99
12588,Finland,39,3,718.78,239.59,30,558,279.0,4,3,3,10,Regular,Loyal,32.1
12589,France,29,6,3294.91,549.15,119,660,131.8,4,4,5,13,Champions,VIP,317.98
12590,Germany,211,1,9341.26,9341.26,67,0,0.0,2,1,5,8,Lost,Occasional,0.0
12591,Italy,317,3,1114.95,371.65,62,91,45.5,2,3,3,8,At-Risk,Occasional,0.0
12592,Germany,92,4,1723.64,430.91,40,427,142.0,3,3,4,10,Regular,Occasional,84.41
12593,France,109,3,382.1,127.37,13,110,55.0,3,3,2,8,Regular,At-Risk,2.57
12594,Italy,38,14,4890.11,349.29,77,608,46.3,4,5,5,14,Champions,VIP,932.26
12595,Germany,505,1,281.02,281.02,18,0,0.0,1,1,1,3,Lost,Occasional,6.99
12596,Spain,51,2,450.27,225.14,24,190,190.0,4,2,2,8,New / Promising,Loyal,2.45
12597,Spain,19,4,3195.22,798.8,183,248,82.7,5,3,5,13,Regular,VIP,37.9
12598,France,10,10,4192.09,419.21,129,639,70.4,5,5,5,15,Champions,VIP,902.87
12599,France,29,13,2026.72,155.9,46,548,45.1,4,5,4,13,Champions,Loyal,368.03
12600,Germany,29,20,4385.85,219.29,51,703,36.6,4,5,5,14,Champions,VIP,368.2
12601,Germany,190,6,573.26,95.54,23,214,42.4,2,4,2,8,Regular,At-Risk,4.3
12602,France,59,1,153.12,153.12,12,0,0.0,4,1,1,6,New / Promising,At-Risk,5.27
12603,Germany,22,1,613.2,613.2,1,0,0.0,4,1,3,8,New / Promising,Occasional,2.21
12604,France,79,2,236.18,118.09,14,182,182.0,3,2,1,6,Regular,At-Risk,0.67
12605,Germany,376,3,1124.95,374.98,62,81,40.5,2,3,3,8,At-Risk,Occasional,2.86
12607,USA,60,1,1579.51,1579.51,101,0,0.0,3,1,4,8,Regular,Occasional,14.34
12608,United Kingdom,405,1,415.79,415.79,16,0,0.0,2,1,2,5,Lost,Occasional,3.55
12609,Germany,78,9,3021.86,335.76,128,641,79.9,3,5,5,13,Loyal,VIP,677.66
12610,Italy,23,4,1747.54,436.88,84,103,34.0,4,3,4,11,Regular,Loyal,153.65
12611,Italy,52,1,1193.32,1193.32,65,0,0.0,4,1,3,8,New / Promising,Occasional,2.12
12612,Germany,74,1,668.04,668.04,18,0,0.0,3,1,3,7,Regular,Occasional,0.89
12613,Germany,57,9,6277.37,697.49,217,668,83.1,4,5,5,14,Champions,VIP,1040.34
12614,Germany,278,1,315.6,315.6,20,0,0.0,2,1,2,5,Lost,Occasional,4.43
12615,France,2,8,5362.98,670.37,197,629,89.6,5,4,5,14,Champions,VIP,1061.28
12616,France,95,3,1023.1,341.03,31,293,146.5,3,3,3,9,Regular,Occasional,27.28
12617,France,29,1,352.98,352.98,39,0,0.0,4,1,2,7,New / Promising,Loyal,19.04
12618,Italy,22,1,137.31,137.31,10,0,0.0,4,1,1,6,New / Promising,At-Risk,0.0
12619,Germany,16,9,3085.7,342.86,53,544,67.8,5,5,5,15,Champions,Loyal,1014.19
12620,France,15,3,1303.41,434.47,88,189,94.5,5,3,4,12,Regular,Loyal,38.68
12621,Germany,2,35,22097.2,631.35,343,666,19.1,5,5,5,15,Champions,VIP,4697.33
12622,Germany,232,1,162.1,162.1,10,0,0.0,2,1,1,4,Lost,At-Risk,3.23
12623,Germany,276,7,3315.84,473.69,111,420,69.7,2,4,5,11,Loyal,Occasional,119.79
12624,France,106,2,569.13,284.56,35,71,71.0,3,2,2,7,Regular,Occasional,6.1
12625,Germany,212,4,4678.88,1169.72,143,384,127.7,2,3,5,10,At-Risk,Occasional,37.52
12626,Germany,23,9,5954.48,661.61,231,303,37.5,4,5,5,14,Champions,VIP,2256.38
12627,Germany,11,6,4082.53,680.42,161,129,25.4,5,4,5,14,Champions,VIP,594.31
12628,Germany,4,3,732.46,244.15,33,60,29.5,5,3,3,11,Regular,Loyal,25.5
12629,Sweden,386,2,1198.22,599.11,39,37,37.0,2,2,3,7,Lost,Occasional,9.42
12630,Finland,10,2,1030.8799999999999,515.44,59,34,34.0,5,2,3,10,New / Promising,Loyal,17.77
